,instance_folder,instance_id,sample_durations,time_limit,solve_time,solver_status,obj_gap,obj_value
44,ubo50,5,"[0, 8, 6, 3, 8, 1, 10, 4, 6, 1, 9, 2, 5, 2, 6, 8, 6, 2, 9, 1, 4, 5, 8, 6, 4, 9, 4, 4, 5, 10, 3, 6, 1, 9, 4, 10, 8, 10, 2, 10, 5, 1, 1, 10, 1, 1, 7, 8, 5, 6, 5, 0]",3600,3600.0,Unknown,,
45,ubo50,6,"[0, 4, 8, 8, 8, 1, 6, 9, 3, 9, 8, 8, 3, 6, 9, 8, 4, 3, 10, 4, 2, 7, 5, 3, 7, 1, 8, 9, 1, 2, 9, 6, 1, 5, 9, 7, 6, 9, 7, 9, 9, 4, 2, 8, 2, 2, 9, 7, 7, 3, 2, 0]",3600,1.755,Optimal,0.0,213.0
46,ubo50,7,"[0, 5, 9, 2, 2, 8, 2, 5, 2, 4, 9, 9, 9, 8, 8, 10, 6, 4, 5, 8, 8, 8, 8, 5, 9, 1, 5, 8, 1, 4, 8, 3, 1, 9, 1, 4, 3, 10, 9, 10, 3, 6, 2, 6, 1, 9, 3, 3, 3, 8, 8, 0]",3600,0.003,Infeasible,,
47,ubo50,8,"[0, 1, 6, 5, 7, 8, 5, 5, 8, 5, 9, 3, 8, 3, 1, 4, 3, 10, 5, 2, 8, 2, 5, 2, 6, 6, 1, 7, 10, 1, 8, 1, 2, 9, 4, 10, 1, 3, 3, 5, 2, 9, 3, 7, 7, 6, 1, 3, 4, 9, 5, 0]",3600,3600.0,Unknown,,
48,ubo50,9,"[0, 10, 4, 4, 2, 6, 6, 4, 8, 1, 3, 2, 1, 8, 8, 2, 6, 7, 8, 5, 1, 3, 2, 1, 2, 6, 8, 10, 4, 2, 10, 5, 6, 8, 5, 10, 7, 2, 5, 2, 5, 2, 8, 2, 3, 9, 9, 9, 9, 4, 10, 0]",3600,19.367,Optimal,0.0,194.0
49,ubo50,10,"[0, 2, 10, 2, 2, 6, 9, 2, 8, 10, 8, 7, 9, 8, 3, 2, 10, 9, 1, 2, 4, 2, 2, 1, 9, 6, 1, 7, 5, 4, 10, 3, 1, 2, 1, 4, 8, 5, 5, 2, 4, 3, 10, 4, 10, 4, 4, 7, 10, 2, 6, 0]",3600,3600.0,Feasible,0.290323,186.0
50,ubo100,1,"[0, 6, 10, 8, 7, 8, 9, 3, 6, 9, 5, 7, 4, 3, 6, 5, 10, 8, 7, 5, 8, 9, 1, 9, 8, 8, 6, 3, 7, 4, 1, 10, 7, 10, 8, 9, 8, 1, 5, 2, 1, 9, 10, 9, 6, 1, 6, 1, 1, 4, 7, 9, 2, 9, 2, 3, 1, 8, 8, 9, 5, 7, 6, 1, 2, 7, 4, 4, 6, 10, 3, 9, 9, 2, 8, 8, 1, 9, 4, 1, 6, 5, 4, 3, 10, 10, 6, 5, 1, 8, 9, 7, 4, 10, 10, 8, 5, 2, 5, 2, 2, 0]",3600,0.004,Infeasible,,
51,ubo100,2,"[0, 8, 4, 8, 1, 8, 2, 2, 7, 4, 6, 7, 4, 7, 8, 5, 10, 6, 7, 9, 9, 2, 9, 5, 10, 3, 3, 2, 7, 9, 1, 5, 1, 6, 1, 8, 9, 10, 7, 1, 6, 6, 4, 4, 2, 7, 8, 4, 3, 2, 8, 3, 1, 4, 7, 10, 8, 7, 3, 9, 4, 4, 4, 9, 8, 1, 2, 9, 8, 6, 2, 3, 2, 10, 2, 9, 10, 5, 1, 4, 9, 6, 8, 2, 8, 5, 1, 6, 1, 4, 3, 10, 10, 8, 6, 5, 4, 4, 7, 10, 7, 0]",3600,0.004,Infeasible,,
52,ubo100,3,"[0, 1, 10, 3, 8, 6, 7, 9, 10, 3, 2, 3, 7, 5, 6, 2, 5, 1, 3, 1, 7, 5, 10, 8, 2, 9, 3, 8, 8, 4, 9, 3, 1, 7, 2, 7, 8, 3, 1, 7, 4, 6, 7, 3, 2, 3, 7, 1, 10, 4, 3, 2, 2, 9, 3, 9, 2, 8, 2, 1, 2, 9, 8, 8, 9, 4, 1, 8, 10, 6, 5, 8, 7, 7, 8, 9, 2, 2, 6, 9, 10, 2, 4, 4, 2, 5, 4, 10, 1, 3, 1, 8, 1, 10, 6, 9, 10, 1, 8, 6, 1, 0]",3600,0.004,Infeasible,,
53,ubo100,4,"[0, 8, 2, 6, 7, 8, 8, 3, 9, 9, 3, 2, 8, 10, 4, 8, 8, 4, 9, 3, 10, 2, 8, 9, 9, 8, 8, 1, 7, 7, 8, 1, 1, 2, 2, 10, 4, 7, 1, 5, 8, 2, 6, 2, 1, 9, 1, 4, 4, 1, 1, 2, 6, 9, 5, 10, 6, 4, 9, 9, 10, 5, 6, 4, 5, 5, 6, 1, 5, 9, 9, 1, 3, 4, 3, 10, 9, 8, 10, 9, 5, 5, 8, 9, 5, 1, 1, 2, 3, 6, 8, 7, 4, 2, 8, 1, 6, 2, 6, 2, 1, 0]",3600,3600.0,Feasible,0.306533,398.0
